acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.21,0.45,0.3118499999999999,0.0539409457475552,-1.97,-1.29,-1.69945,0.1976703450865434,9.99,10.46,10.2099,0.0574936308467268,-0.21,0.01,-0.11565,0.0473368926634942,0.03,0.1,0.06135,0.0157772656234457,-0.02,0.0,-0.0131,0.0053415974498817,0.0
0.21,0.44,0.3078,0.0448913820337993,-2.04,-1.39,-1.72465,0.1701399881799968,9.97,10.42,10.2061,0.0588310757796161,-0.21,0.02,-0.1089999999999999,0.052101562973884,0.02,0.1,0.0591,0.0162947104282248,-0.02,0.0,-0.0129,0.0058102318344321,0.0
0.18,0.4,0.29905,0.0464260096482488,-2.0,-1.38,-1.7164499999999998,0.1872758895158953,9.95,10.44,10.20815,0.0574331816266415,-0.22,0.02,-0.10425,0.0533730353692069,0.02,0.1,0.0584,0.0158333024772687,-0.02,0.0,-0.0123499999999999,0.0054889107028186,0.0
0.21,0.44,0.3047999999999999,0.0553650289637854,-1.97,-1.24,-1.669,0.2107893754533659,9.95,10.37,10.2141,0.0533330297311291,-0.21,0.01,-0.102,0.0543670754636697,0.02,0.1,0.05765,0.0155946615011895,-0.02,0.0,-0.0125999999999999,0.0057798819344238,0.0
0.17,0.4,0.27255,0.0484534434370202,-1.75,-1.06,-1.4841,0.1966559375888374,10.02,10.43,10.24915,0.0561206301250096,-0.22,0.03,-0.11705,0.0475087667128169,0.02,0.1,0.0611,0.0128692692275925,-0.02,0.0,-0.01275,0.0053928577371245,0.0
0.23,0.44,0.3093,0.0449400494014081,-2.01,-1.37,-1.72845,0.1678719825121596,9.96,10.39,10.20375,0.0536266406081396,-0.21,0.02,-0.10325,0.0489481060453531,0.02,0.1,0.05735,0.0153183143253049,-0.02,0.0,-0.0116,0.004532407039073,0.0
0.21,0.44,0.3112,0.0436127315328768,-1.99,-1.33,-1.7375,0.1681491022961915,9.98,10.41,10.20515,0.0579462365616465,-0.21,0.02,-0.10895,0.0507867499437525,0.01,0.1,0.0597,0.0153652351840545,-0.02,0.0,-0.01295,0.0056530776071234,0.0
0.23,0.46,0.3202,0.0449450809489485,-2.0,-1.31,-1.6836000000000002,0.175705441037124,9.97,10.38,10.2137,0.0514152471373128,-0.21,0.0,-0.1118,0.0464602277633148,0.03,0.09,0.0595,0.0141687603143048,-0.02,0.0,-0.0127,0.0051811409077082,0.0
0.24,0.42,0.32775,0.0353082264390518,-1.97,-1.4,-1.68145,0.1406245848681756,10.07,10.39,10.2137,0.0489108511149001,-0.2,0.01,-0.10765,0.0418417393971485,0.01,0.1,0.0586,0.0131110448663497,-0.02,0.0,-0.01205,0.0046265022006982,0.0
0.23,0.4,0.30835,0.0353983433732122,-1.97,-1.52,-1.79375,0.1112624562503195,9.98,10.38,10.19385,0.0506904835805316,-0.18,0.0,-0.10845,0.0295204128336537,0.03,0.09,0.05915,0.010925857946143,-0.02,0.0,-0.0119999999999999,0.0043698372265949,0.0
0.24,0.43,0.3204000000000001,0.0445845140656748,-1.95,-1.36,-1.7246499999999998,0.1688651970474358,9.94,10.39,10.20475,0.061349460318792,-0.2,0.04,-0.0979,0.0419929403016254,0.01,0.1,0.05735,0.0141235574262244,-0.02,0.0,-0.01115,0.004390201515504,0.0
0.25,0.44,0.33485,0.0384495688757841,-1.88,-1.33,-1.65775,0.141915954673725,10.01,10.38,10.2203,0.0540603608299586,-0.2,0.01,-0.10955,0.042049235319501,0.01,0.1,0.05995,0.0129357709802806,-0.02,0.0,-0.01185,0.004815959648573,0.0
0.25,0.49,0.3591499999999999,0.0486891225353911,-1.81,-1.12,-1.5317,0.1792057014078665,10.04,10.44,10.24065,0.0558540587549104,-0.22,0.0,-0.1107,0.0488820753081552,0.03,0.1,0.05985,0.0141945385491433,-0.02,0.0,-0.01225,0.004955835096887,0.0
0.24,0.46,0.34355,0.0440180125305048,-1.87,-1.26,-1.58485,0.1718038425108924,10.03,10.45,10.2344,0.0571486644572401,-0.21,0.0,-0.1039,0.0475615443663529,0.02,0.1,0.05785,0.0146612503323056,-0.02,0.0,-0.0121,0.0050713502112183,0.0
0.25,0.46,0.3312999999999999,0.0414232959484899,-1.9,-1.27,-1.6743,0.1530149596916825,10.02,10.41,10.217050000000002,0.0574307317098051,-0.2,0.01,-0.10375,0.0462398977151065,0.01,0.1,0.0574,0.0150122228257794,-0.02,0.0,-0.01205,0.005042283521935,0.0
0.18,0.4,0.2935,0.0498616175481964,-1.74,-1.03,-1.42105,0.1939159987542655,10.07,10.47,10.25845,0.0573633179937865,-0.2,0.02,-0.1053,0.0519171160088208,0.02,0.1,0.0581,0.0153154436458873,-0.02,0.0,-0.0121999999999999,0.0053199161213019,0.0
0.24,0.44,0.3288,0.0427750925506137,-1.93,-1.24,-1.6723,0.1914916585033977,10.05,10.42,10.2138,0.0567685948992413,-0.21,0.02,-0.1108,0.0433677739697978,0.02,0.1,0.05995,0.0125412885939998,-0.02,0.0,-0.01205,0.0048388606989994,0.0
0.23,0.39,0.3015,0.0260797000321868,-1.93,-1.56,-1.7715500000000004,0.0774148746305925,10.05,10.37,10.1994,0.0472525556991419,-0.18,-0.04,-0.11305,0.0242515605880276,0.02,0.1,0.0598,0.0112959280251668,-0.02,-0.01,-0.01175,0.0038092059869815,0.0
0.21,0.34,0.2746,0.019486885165858,-1.98,-1.8,-1.8968,0.027958332241186,9.97,10.35,10.17355,0.0450448966428809,-0.17,-0.03,-0.10795,0.0212498300318357,0.02,0.1,0.05875,0.0103184228080763,-0.02,0.0,-0.01125,0.0036058996884015,0.0
0.25,0.52,0.34975,0.0594737178556872,-1.95,-1.19,-1.6359,0.2256608163153286,10.02,10.48,10.2195,0.0643072868007847,-0.2,0.01,-0.1077,0.0393376058775938,0.02,0.1,0.05855,0.0135764168865495,-0.02,0.0,-0.0124,0.0049357683338286,0.0
0.24,0.47,0.3466,0.0553149048039254,-2.01,-1.21,-1.64505,0.2190752549620413,10.02,10.42,10.2198,0.0569929908412001,-0.21,0.01,-0.10015,0.0423728070095591,0.03,0.1,0.05725,0.0131835705582105,-0.02,0.0,-0.01185,0.0044920365047268,0.0
0.26,0.48,0.38065,0.0498749944899935,-1.81,-1.17,-1.4683,0.1925838850055193,10.03,10.45,10.2532,0.0563973697665317,-0.22,0.02,-0.10285,0.044669388526784,0.01,0.1,0.05755,0.0139452446821929,-0.02,0.0,-0.01175,0.004532129853063,0.0
0.25,0.49,0.3459,0.0490019997540865,-1.9,-1.2,-1.601,0.1935570241764431,10.03,10.47,10.23085,0.0596537538781826,-0.23,0.02,-0.1166,0.0446250712596027,0.02,0.09,0.0606,0.0141648584913652,-0.02,0.0,-0.01325,0.0052031590713342,0.0
0.22,0.45,0.3212,0.0542427078673614,-1.99,-1.3,-1.69885,0.2048069994779862,9.95,10.44,10.21115,0.0615803393215299,-0.19,0.03,-0.1075,0.0382763030723243,0.02,0.09,0.0589,0.0124726837206745,-0.02,0.0,-0.012,0.0043698372265949,0.0
0.24,0.49,0.3301,0.0482663256417429,-1.91,-1.24,-1.6707,0.1793917977094469,10.03,10.4,10.21725,0.0564078605663106,-0.2,0.03,-0.101,0.0417096930276681,0.01,0.1,0.0567,0.0134914825168516,-0.02,0.0,-0.0115,0.0045666477154236,0.0
0.24,0.5,0.3556,0.0559759460184757,-1.95,-1.22,-1.58185,0.2177017403207734,10.03,10.39,10.2274,0.0547744576059877,-0.21,0.02,-0.1094,0.0492010540394508,0.01,0.1,0.0597,0.0158798883582774,-0.02,0.0,-0.01215,0.004898723041486,0.0
0.12,0.36,0.23735,0.0526052665647818,-1.91,-1.23,-1.6568999999999996,0.1916901551407621,10.0,10.41,10.21695,0.0581558942859707,-0.21,0.03,-0.11295,0.044028285791622,0.01,0.11,0.05975,0.014157672778125,-0.02,0.0,-0.01235,0.0051096027439523,0.0
0.24,0.48,0.3296499999999999,0.0518150702743679,-1.96,-1.24,-1.7093,0.1963703556622398,9.98,10.4,10.2095,0.0587367006223536,-0.22,0.02,-0.11255,0.0443942761940542,0.01,0.1,0.05985,0.0142298963365424,-0.02,0.0,-0.0126,0.0052322924633577,0.0
0.24,0.48,0.3484,0.0566966715320579,-1.99,-1.24,-1.6338,0.2281949268128359,10.0,10.42,10.21695,0.0611300409745301,-0.22,0.03,-0.098,0.0541169401951034,0.02,0.11,0.0563,0.0164518484245058,-0.02,0.0,-0.0117999999999999,0.0054689622177057,0.0
0.23,0.43,0.3043,0.045451503781282,-2.05,-1.37,-1.79565,0.1884866402900725,9.92,10.43,10.19535,0.0607728905113581,-0.21,0.02,-0.1165,0.0474447576147842,0.02,0.1,0.06135,0.0136237119625376,-0.02,0.0,-0.01305,0.0052282091440828,0.0
0.22,0.43,0.3135,0.0531306344928049,-2.05,-1.37,-1.7479000000000002,0.2113692855510749,9.99,10.38,10.2011,0.0566110772760222,-0.2,0.03,-0.0977,0.0493343632469795,0.01,0.1,0.056,0.0150041870203188,-0.02,0.0,-0.0115,0.0049874213637205,0.0
0.23,0.43,0.31655,0.0440145875772793,-2.03,-1.35,-1.76625,0.1815910627491115,9.94,10.39,10.1994,0.0592214140273346,-0.21,0.03,-0.11265,0.0481776183987218,0.02,0.09,0.0597,0.014031909077592,-0.02,0.0,-0.01245,0.0050621762257653,0.0
