min,max,mean,std
-1.99,-0.09,-0.81395,0.1609641100482281
-2.34,-1.25,-1.7551999999999999,0.2561248910180246
9.79,10.3,10.0954,0.08419193195927499
-0.23,0.06,-0.10414999999999999,0.06342231032717258
-0.04,0.12,0.0554,0.034023934820997956
-0.1,0.02,-0.011049999999999999,0.013539352656303728
