ax,ay,az,gx,gy,gz
0.02,-1.33,10.31,-0.14,0.07,-0.01
0,-1.33,10.3,-0.12,0.07,-0.02
0,-1.34,10.24,-0.11,0.06,-0.01
0.05,-1.34,10.22,-0.12,0.06,-0.01
0,-1.36,10.22,-0.12,0.08,-0.01
-0.02,-1.38,10.36,-0.15,0.06,-0.01
0.01,-1.31,10.07,-0.06,0.04,0
-0.01,-1.38,10.31,-0.13,0.05,-0.02
0,-1.42,10.33,-0.11,0.05,-0.01
-0.01,-1.38,10.27,-0.08,0.05,-0.01
-0.02,-1.34,10.22,-0.09,0.06,-0.01
0.03,-1.33,10.29,-0.11,0.05,-0.01
0.03,-1.32,10.23,-0.1,0.06,-0.01
0.01,-1.34,10.22,-0.1,0.06,-0.02
0.01,-1.33,10.23,-0.1,0.05,-0.01
0.04,-1.36,10.23,-0.09,0.05,-0.01
0,-1.34,10.26,-0.1,0.05,-0.01
0.01,-1.35,10.24,-0.1,0.06,-0.01
0.02,-1.35,10.24,-0.11,0.05,-0.01
0.02,-1.33,10.22,-0.11,0.05,-0.01
-0.01,-1.34,10.25,-0.11,0.05,-0.01
-0.01,-1.33,10.26,-0.11,0.05,-0.02
0.03,-1.32,10.25,-0.11,0.05,-0.02
0.04,-1.31,10.24,-0.11,0.05,-0.02
0.03,-1.32,10.27,-0.11,0.06,-0.01
0.01,-1.35,10.24,-0.1,0.06,-0.01
0.04,-1.36,10.31,-0.14,0.06,-0.02
0.03,-1.36,10.28,-0.12,0.06,-0.01
0.05,-1.27,10.03,0.01,0.04,0
-0.02,-1.36,10.35,-0.15,0.07,-0.02
0.01,-1.29,10.31,-0.14,0.08,-0.02
0.02,-1.28,10.06,-0.07,0.07,-0.01
0.02,-1.38,10.34,-0.15,0.07,-0.02
0.02,-1.43,10.33,-0.12,0.06,-0.01
0.04,-1.35,10.24,-0.1,0.06,-0.01
0.01,-1.3,10.19,-0.12,0.08,-0.01
0.04,-1.33,10.28,-0.14,0.07,-0.01
0.01,-1.35,10.33,-0.12,0.07,-0.02
-0.02,-1.35,10.27,-0.11,0.06,-0.01
0,-1.34,10.23,-0.11,0.06,-0.01
0.04,-1.37,10.21,-0.12,0.06,-0.01
0,-1.42,10.36,-0.16,0.08,-0.02
0,-1.37,10.17,-0.09,0.05,0
0,-1.35,10.12,-0.08,0.05,-0.01
0,-1.39,10.33,-0.13,0.05,-0.02
-0.02,-1.39,10.29,-0.1,0.05,-0.01
-0.04,-1.36,10.24,-0.09,0.06,-0.01
-0.01,-1.33,10.2,-0.1,0.06,-0.01
0.05,-1.36,10.27,-0.12,0.06,-0.01
0.03,-1.36,10.22,-0.1,0.06,-0.01
0.01,-1.33,10.22,-0.1,0.06,-0.01
0.02,-1.36,10.26,-0.1,0.05,-0.01
0.03,-1.36,10.24,-0.09,0.05,-0.01
0.03,-1.37,10.24,-0.1,0.05,-0.01
0.01,-1.35,10.23,-0.11,0.06,-0.01
0.02,-1.36,10.23,-0.11,0.06,-0.01
0,-1.37,10.24,-0.11,0.05,-0.01
-0.01,-1.36,10.24,-0.12,0.06,-0.02
0,-1.36,10.27,-0.11,0.06,-0.02
0.03,-1.35,10.24,-0.12,0.05,-0.01
0.02,-1.35,10.24,-0.11,0.05,-0.02
0.05,-1.34,10.24,-0.1,0.05,-0.01
0.01,-1.36,10.29,-0.12,0.06,-0.02
0.02,-1.37,10.28,-0.13,0.06,-0.01
0.08,-1.34,10.05,-0.01,0.04,0
-0.03,-1.36,10.43,-0.16,0.06,-0.02
0.01,-1.35,10.33,-0.14,0.07,-0.02
0.02,-1.29,10.03,-0.06,0.07,0
0,-1.39,10.29,-0.14,0.07,-0.02
-0.01,-1.42,10.37,-0.14,0.06,-0.02
0,-1.38,10.22,-0.1,0.06,-0.01
-0.01,-1.35,10.17,-0.11,0.07,-0.01
0.05,-1.35,10.26,-0.14,0.07,-0.01
0.01,-1.38,10.34,-0.13,0.07,-0.01
-0.03,-1.35,10.29,-0.12,0.06,-0.01
0,-1.36,10.22,-0.12,0.06,-0.01
0.04,-1.37,10.22,-0.12,0.06,-0.01
-0.01,-1.41,10.27,-0.12,0.08,-0.01
-0.02,-1.42,10.28,-0.12,0.06,-0.01
0.04,-1.35,10.1,-0.06,0.04,-0.01
0,-1.42,10.31,-0.13,0.06,-0.02
-0.01,-1.42,10.28,-0.1,0.06,-0.02
-0.02,-1.38,10.26,-0.1,0.06,-0.01
-0.02,-1.36,10.23,-0.09,0.06,-0.01
0.04,-1.36,10.28,-0.11,0.05,-0.01
0.03,-1.36,10.23,-0.1,0.06,-0.01
0.02,-1.38,10.2,-0.11,0.06,-0.02
0.01,-1.36,10.22,-0.1,0.05,-0.01
0.03,-1.37,10.25,-0.09,0.05,-0.01
0.02,-1.38,10.24,-0.1,0.05,-0.01
0,-1.37,10.23,-0.11,0.06,-0.01
