ax,ay,az,gx,gy,gz
0.19,-0.92,10.35,-0.21,0.1,-0.02
0.19,-0.94,10.3,-0.19,0.1,-0.02
0.19,-0.95,10.25,-0.19,0.1,-0.01
0.16,-1.02,10.28,-0.2,0.1,-0.02
0.15,-1.04,10.47,-0.26,0.1,-0.02
0.14,-1.02,10.15,-0.16,0.08,-0.01
0.14,-1.03,10.27,-0.18,0.08,-0.01
0.12,-1.1,10.34,-0.19,0.09,-0.02
0.12,-1.12,10.35,-0.17,0.09,-0.02
0.12,-1.12,10.28,-0.17,0.09,-0.01
0.11,-1.12,10.31,-0.19,0.08,-0.02
0.13,-1.16,10.28,-0.17,0.08,-0.02
0.1,-1.14,10.27,-0.15,0.06,-0.01
0.1,-1.17,10.31,-0.15,0.05,-0.01
0.11,-1.17,10.24,-0.15,0.06,-0.01
0.1,-1.18,10.27,-0.16,0.07,-0.01
0.09,-1.2,10.29,-0.17,0.08,-0.01
0.09,-1.21,10.27,-0.17,0.08,-0.01
0.08,-1.24,10.28,-0.17,0.08,-0.01
0.07,-1.23,10.28,-0.16,0.07,-0.02
0.08,-1.24,10.24,-0.14,0.08,-0.02
0.06,-1.26,10.26,-0.14,0.08,-0.02
0.07,-1.3,10.38,-0.19,0.09,-0.02
0.06,-1.3,10.25,-0.11,0.07,-0.01
0.06,-1.23,10.22,-0.09,0.05,-0.02
0.05,-1.29,10.34,-0.16,0.09,-0.02
0.04,-1.25,10.12,-0.1,0.09,-0.01
0.02,-1.32,10.21,-0.11,0.07,-0.01
0.04,-1.36,10.35,-0.17,0.07,-0.01
0.02,-1.35,10.29,-0.15,0.07,-0.02
0.04,-1.33,10.16,-0.15,0.08,-0.02
0.03,-1.33,10.23,-0.18,0.1,-0.02
0.06,-1.35,10.31,-0.16,0.08,-0.01
0.02,-1.38,10.28,-0.15,0.08,-0.01
0.0,-1.36,10.25,-0.14,0.08,-0.01
0.01,-1.4,10.23,-0.15,0.08,-0.01
0.01,-1.43,10.2,-0.14,0.08,-0.01
-0.02,-1.43,10.37,-0.17,0.06,-0.01
0.02,-1.36,10.14,-0.07,0.04,-0.01
0.0,-1.42,10.32,-0.12,0.06,-0.01
-0.02,-1.41,10.28,-0.09,0.05,-0.02
-0.03,-1.42,10.3,-0.09,0.06,-0.01
-0.05,-1.4,10.27,-0.08,0.05,-0.01
0.0,-1.39,10.26,-0.08,0.04,-0.01
0.02,-1.37,10.23,-0.06,0.04,-0.01
0.01,-1.35,10.22,-0.04,0.03,-0.01
0.01,-1.35,10.24,-0.04,0.03,-0.01
0.02,-1.34,10.24,-0.04,0.03,-0.01
0.03,-1.31,10.26,-0.04,0.02,-0.01
0.02,-1.29,10.24,-0.03,0.03,-0.01
0.03,-1.27,10.27,-0.04,0.03,-0.01
0.03,-1.27,10.26,-0.04,0.03,-0.01
0.06,-1.25,10.27,-0.04,0.03,-0.01
0.07,-1.24,10.28,-0.04,0.03,-0.01
0.06,-1.21,10.29,-0.04,0.03,-0.01
0.09,-1.18,10.23,-0.02,0.02,-0.01
0.07,-1.18,10.26,-0.02,0.02,-0.01
0.09,-1.18,10.39,-0.06,0.03,-0.01
0.12,-1.16,10.27,0.01,0.01,-0.01
0.11,-1.04,10.26,0.04,0.01,-0.01
0.14,-1.07,10.38,-0.05,0.05,-0.01
0.12,-1.01,10.13,0.01,0.05,0.0
0.11,-1.04,10.3,-0.01,0.02,-0.01
0.14,-1.06,10.43,-0.04,0.01,-0.01
0.13,-1.02,10.32,0.01,0.02,-0.01
0.15,-0.93,10.21,0.01,0.03,-0.01
0.2,-0.87,10.26,-0.03,0.03,-0.01
0.19,-0.88,10.33,-0.04,0.03,-0.01
0.16,-0.91,10.36,-0.03,0.03,-0.01
0.19,-0.87,10.32,-0.01,0.03,-0.01
0.21,-0.86,10.26,-0.02,0.03,-0.01
0.18,-0.87,10.33,-0.05,0.05,-0.01
0.2,-0.82,10.36,-0.07,0.03,-0.01
0.21,-0.78,10.15,-0.01,0.02,-0.01
0.19,-0.8,10.4,-0.09,0.03,-0.01
0.21,-0.8,10.35,-0.04,0.03,-0.01
0.2,-0.78,10.33,-0.05,0.04,-0.01
0.21,-0.74,10.3,-0.06,0.04,-0.01
0.23,-0.74,10.35,-0.07,0.04,-0.01
0.25,-0.73,10.31,-0.05,0.04,-0.01
0.23,-0.7,10.28,-0.05,0.04,-0.01
0.27,-0.69,10.31,-0.04,0.02,-0.01
0.27,-0.69,10.31,-0.04,0.02,-0.01
0.27,-0.68,10.31,-0.05,0.03,-0.01
0.28,-0.66,10.33,-0.07,0.04,-0.01
0.27,-0.65,10.33,-0.08,0.04,-0.01
0.28,-0.63,10.36,-0.07,0.03,-0.01
0.29,-0.64,10.3,-0.07,0.03,-0.01
0.31,-0.62,10.31,-0.07,0.03,-0.01
0.3,-0.61,10.33,-0.07,0.04,-0.01
0.3,-0.63,10.36,-0.09,0.04,-0.01
0.33,-0.61,10.41,-0.11,0.04,-0.01
0.33,-0.62,10.19,0.0,0.02,-0.01
0.31,-0.5,10.36,-0.07,0.02,-0.01
0.34,-0.57,10.47,-0.14,0.08,-0.01
0.3,-0.56,10.21,-0.06,0.07,-0.01
0.34,-0.57,10.44,-0.11,0.04,-0.01
0.29,-0.61,10.46,-0.11,0.05,-0.02
0.3,-0.58,10.28,-0.09,0.05,-0.01
0.35,-0.52,10.23,-0.1,0.07,-0.01
0.37,-0.52,10.3,-0.15,0.07,-0.01
0.33,-0.55,10.36,-0.16,0.08,-0.01
0.31,-0.58,10.35,-0.15,0.08,-0.01
0.3,-0.59,10.32,-0.17,0.08,-0.01
0.31,-0.63,10.32,-0.19,0.08,-0.01
0.28,-0.64,10.49,-0.22,0.1,-0.01
0.29,-0.64,10.25,-0.16,0.08,0.0
0.29,-0.66,10.26,-0.16,0.07,-0.01
0.3,-0.67,10.41,-0.2,0.08,-0.02
0.25,-0.73,10.29,-0.18,0.09,-0.02
0.25,-0.73,10.35,-0.2,0.1,-0.02
0.25,-0.72,10.32,-0.21,0.09,-0.02
0.25,-0.77,10.35,-0.22,0.1,-0.02
0.23,-0.81,10.32,-0.21,0.1,-0.02
0.23,-0.82,10.28,-0.2,0.09,-0.02
0.24,-0.85,10.32,-0.2,0.08,-0.02
