ax,ay,az,gx,gy,gz
0.02,-1.4,10.24,-0.1,0.05,-0.01
0.01,-1.4,10.24,-0.1,0.05,-0.01
0.03,-1.37,10.22,-0.11,0.05,-0.01
0.02,-1.4,10.21,-0.11,0.05,-0.01
0.01,-1.36,10.24,-0.11,0.05,-0.01
0.0,-1.36,10.23,-0.11,0.05,-0.01
0.01,-1.36,10.24,-0.11,0.05,-0.01
0.02,-1.37,10.25,-0.1,0.05,-0.01
0.01,-1.37,10.22,-0.1,0.05,-0.01
0.0,-1.38,10.28,-0.13,0.07,-0.02
0.04,-1.38,10.25,-0.12,0.06,-0.01
0.04,-1.34,10.01,0.0,0.03,0.0
-0.02,-1.39,10.36,-0.15,0.08,-0.02
0.02,-1.36,10.31,-0.13,0.08,-0.01
0.01,-1.34,10.04,-0.07,0.07,0.0
0.0,-1.41,10.34,-0.17,0.09,-0.02
-0.01,-1.46,10.36,-0.15,0.07,-0.02
-0.01,-1.4,10.24,-0.1,0.06,-0.01
0.01,-1.35,10.18,-0.12,0.07,-0.01
0.06,-1.36,10.26,-0.13,0.08,-0.01
0.01,-1.4,10.28,-0.12,0.07,-0.02
-0.01,-1.4,10.29,-0.12,0.07,-0.01
-0.01,-1.39,10.22,-0.11,0.06,-0.01
0.0,-1.41,10.23,-0.13,0.06,-0.01
-0.05,-1.44,10.38,-0.16,0.08,-0.02
0.0,-1.42,10.13,-0.07,0.03,0.0
0.02,-1.36,10.18,-0.09,0.05,-0.01
0.0,-1.43,10.31,-0.12,0.06,-0.02
-0.02,-1.44,10.28,-0.09,0.05,-0.01
-0.07,-1.39,10.23,-0.1,0.05,-0.01
-0.02,-1.39,10.22,-0.11,0.06,-0.01
0.01,-1.37,10.26,-0.11,0.06,-0.01
-0.02,-1.39,10.25,-0.1,0.05,-0.02
-0.03,-1.4,10.22,-0.1,0.05,-0.01
0.02,-1.39,10.27,-0.1,0.04,-0.01
0.02,-1.39,10.23,-0.09,0.05,-0.01
0.03,-1.4,10.22,-0.1,0.05,-0.01
0.03,-1.4,10.24,-0.11,0.05,-0.01
0.02,-1.39,10.26,-0.11,0.05,-0.02
0.0,-1.39,10.25,-0.11,0.05,-0.02
0.01,-1.39,10.25,-0.11,0.05,-0.02
0.01,-1.39,10.25,-0.11,0.05,-0.01
0.0,-1.37,10.23,-0.11,0.05,-0.01
0.03,-1.37,10.22,-0.1,0.05,-0.01
0.02,-1.39,10.21,-0.11,0.06,-0.02
0.0,-1.42,10.31,-0.14,0.07,-0.02
0.02,-1.41,10.18,-0.07,0.04,-0.01
-0.02,-1.36,10.32,-0.11,0.05,-0.01
0.03,-1.4,10.3,-0.11,0.08,-0.01
0.01,-1.35,10.04,-0.06,0.07,0.0
-0.01,-1.37,10.21,-0.12,0.08,-0.01
0.0,-1.47,10.4,-0.16,0.08,-0.02
-0.01,-1.43,10.24,-0.11,0.06,-0.01
-0.02,-1.37,10.17,-0.12,0.07,-0.01
0.02,-1.36,10.24,-0.13,0.08,-0.01
0.02,-1.4,10.29,-0.12,0.07,-0.01
-0.04,-1.38,10.29,-0.11,0.06,-0.02
-0.02,-1.38,10.27,-0.12,0.06,-0.01
-0.01,-1.41,10.22,-0.12,0.07,-0.01
-0.01,-1.44,10.26,-0.12,0.08,-0.02
-0.05,-1.46,10.29,-0.12,0.05,-0.01
0.02,-1.36,10.09,-0.05,0.03,-0.01
0.02,-1.41,10.29,-0.12,0.06,-0.02
-0.02,-1.43,10.3,-0.1,0.05,-0.01
-0.04,-1.4,10.26,-0.1,0.05,-0.01
-0.05,-1.37,10.22,-0.09,0.05,-0.01
0.03,-1.38,10.25,-0.1,0.05,-0.01
0.01,-1.38,10.21,-0.1,0.05,-0.01
-0.01,-1.37,10.24,-0.1,0.06,-0.01
-0.01,-1.38,10.23,-0.1,0.05,-0.01
-0.01,-1.4,10.22,-0.09,0.04,-0.01
0.04,-1.4,10.23,-0.09,0.05,-0.01
0.02,-1.37,10.22,-0.11,0.06,-0.01
0.02,-1.37,10.26,-0.11,0.06,-0.01
0.03,-1.37,10.27,-0.11,0.05,-0.02
0.0,-1.41,10.26,-0.12,0.05,-0.02
0.0,-1.38,10.21,-0.11,0.05,-0.01
0.0,-1.37,10.19,-0.1,0.05,-0.01
-0.01,-1.39,10.3,-0.13,0.07,-0.02
0.01,-1.4,10.28,-0.13,0.06,-0.02
0.03,-1.34,10.03,-0.01,0.03,0.0
-0.05,-1.42,10.43,-0.16,0.07,-0.02
0.05,-1.38,10.37,-0.12,0.07,-0.02
0.02,-1.32,10.01,-0.04,0.06,0.0
0.0,-1.38,10.29,-0.14,0.08,-0.02
0.02,-1.47,10.37,-0.16,0.07,-0.02
-0.01,-1.41,10.22,-0.11,0.06,-0.01
0.01,-1.35,10.17,-0.12,0.08,-0.01
0.05,-1.37,10.26,-0.13,0.08,-0.01
0.0,-1.39,10.3,-0.11,0.06,-0.02
-0.04,-1.4,10.24,-0.11,0.06,-0.01
0.0,-1.38,10.22,-0.12,0.07,-0.01
0.0,-1.42,10.22,-0.13,0.07,-0.01
-0.05,-1.47,10.37,-0.16,0.08,-0.02
-0.02,-1.44,10.15,-0.08,0.04,0.0
0.02,-1.39,10.13,-0.08,0.05,-0.01
0.01,-1.45,10.3,-0.12,0.06,-0.02
-0.01,-1.45,10.28,-0.1,0.05,-0.01
-0.06,-1.41,10.22,-0.1,0.05,-0.01
-0.02,-1.4,10.23,-0.11,0.06,-0.01
0.01,-1.39,10.26,-0.12,0.06,-0.01
-0.02,-1.4,10.22,-0.11,0.05,-0.01
-0.01,-1.39,10.23,-0.1,0.05,-0.01
0.01,-1.4,10.24,-0.1,0.05,-0.01
0.01,-1.43,10.24,-0.09,0.04,-0.01
0.01,-1.41,10.21,-0.1,0.05,-0.01
0.0,-1.41,10.23,-0.11,0.05,-0.01
