ax,ay,az,gx,gy,gz
-0.88,-1.75,10.07,-0.06,0.04,0.0
-0.87,-1.77,10.06,-0.06,0.03,0.0
-0.89,-1.79,10.1,-0.07,0.04,-0.01
-0.91,-1.81,10.09,-0.08,0.04,-0.01
-0.91,-1.76,10.11,-0.07,0.03,-0.01
-0.91,-1.76,10.07,-0.07,0.03,-0.01
-0.88,-1.76,10.07,-0.08,0.04,-0.01
-0.87,-1.73,10.1,-0.07,0.03,-0.01
-0.88,-1.73,10.09,-0.07,0.03,-0.01
-0.86,-1.74,10.13,-0.09,0.03,-0.01
-0.86,-1.71,10.14,-0.09,0.04,-0.02
-0.83,-1.65,9.94,0.01,0.02,0.01
-0.9,-1.75,10.19,-0.09,0.06,-0.01
-0.86,-1.68,10.18,-0.12,0.08,-0.02
-0.83,-1.62,9.98,-0.03,0.04,0.01
-0.82,-1.71,10.18,-0.08,0.04,-0.01
-0.87,-1.68,10.19,-0.11,0.05,-0.02
-0.87,-1.67,10.1,-0.08,0.05,-0.01
-0.83,-1.66,10.11,-0.06,0.04,0.0
-0.79,-1.65,10.1,-0.09,0.05,0.0
-0.84,-1.63,10.15,-0.1,0.06,-0.01
-0.87,-1.6,10.13,-0.1,0.06,-0.01
-0.84,-1.61,10.13,-0.09,0.05,-0.01
-0.81,-1.67,10.1,-0.1,0.06,-0.01
-0.85,-1.7,10.23,-0.15,0.08,-0.02
-0.79,-1.58,10.0,-0.07,0.04,0.0
-0.8,-1.62,10.1,-0.09,0.05,-0.01
-0.84,-1.62,10.18,-0.12,0.06,-0.02
-0.86,-1.59,10.16,-0.1,0.06,-0.02
-0.87,-1.63,10.11,-0.1,0.05,-0.01
-0.83,-1.62,10.11,-0.11,0.05,-0.01
-0.83,-1.63,10.1,-0.1,0.06,-0.01
-0.82,-1.59,10.12,-0.1,0.05,-0.01
-0.8,-1.6,10.1,-0.11,0.05,-0.01
-0.77,-1.6,10.1,-0.11,0.05,-0.01
-0.81,-1.61,10.12,-0.13,0.06,-0.02
-0.82,-1.63,10.15,-0.15,0.07,-0.02
-0.84,-1.64,10.12,-0.14,0.07,-0.02
-0.83,-1.65,10.14,-0.14,0.06,-0.01
-0.84,-1.63,10.12,-0.13,0.06,-0.02
-0.83,-1.62,10.08,-0.13,0.06,-0.01
-0.84,-1.65,10.11,-0.15,0.07,-0.02
-0.84,-1.68,10.18,-0.18,0.08,-0.02
-0.82,-1.67,10.07,-0.14,0.06,-0.02
-0.82,-1.68,10.07,-0.1,0.05,-0.01
-0.84,-1.74,10.18,-0.18,0.1,-0.02
-0.84,-1.65,10.03,-0.14,0.08,-0.01
-0.83,-1.71,10.02,-0.12,0.06,-0.01
-0.87,-1.79,10.17,-0.19,0.08,-0.03
-0.9,-1.77,10.12,-0.18,0.09,-0.02
-0.88,-1.78,10.09,-0.16,0.08,-0.01
-0.85,-1.78,10.07,-0.16,0.08,-0.01
-0.85,-1.78,10.09,-0.17,0.09,-0.02
-0.91,-1.79,10.11,-0.17,0.09,-0.02
-0.91,-1.8,10.09,-0.16,0.09,-0.02
-0.9,-1.84,10.04,-0.16,0.08,-0.02
-0.9,-1.9,10.09,-0.16,0.1,-0.02
-0.92,-1.88,10.07,-0.19,0.09,-0.02
-0.91,-1.83,9.94,-0.11,0.06,-0.01
-0.92,-1.95,10.12,-0.16,0.08,-0.02
-0.96,-1.89,10.1,-0.15,0.09,-0.02
-0.95,-1.92,10.11,-0.14,0.07,-0.02
-0.93,-1.9,10.03,-0.13,0.06,-0.01
-0.92,-1.93,10.07,-0.15,0.07,-0.01
-0.94,-1.92,10.02,-0.13,0.07,-0.01
-0.92,-1.92,10.02,-0.12,0.06,-0.01
-0.93,-1.92,10.05,-0.13,0.06,-0.01
-0.92,-1.95,10.05,-0.13,0.07,-0.01
-0.93,-1.96,10.04,-0.13,0.07,-0.02
-0.94,-1.96,10.05,-0.14,0.07,-0.01
-0.96,-2.0,10.04,-0.13,0.07,-0.01
-0.97,-2.0,10.03,-0.13,0.06,-0.01
-0.94,-1.98,10.06,-0.13,0.07,-0.02
-0.96,-1.99,10.04,-0.13,0.06,-0.02
-0.95,-2.0,10.05,-0.13,0.06,-0.02
-0.95,-1.99,10.03,-0.11,0.06,-0.01
-0.95,-2.01,10.03,-0.13,0.07,-0.02
-0.96,-2.0,10.05,-0.14,0.08,-0.02
-0.94,-1.96,9.94,-0.07,0.06,0.0
-0.99,-2.07,10.16,-0.16,0.07,-0.02
-0.98,-1.99,10.12,-0.15,0.08,-0.02
-0.97,-1.93,9.91,-0.06,0.04,0.01
-0.98,-2.04,10.02,-0.1,0.07,-0.01
-0.99,-2.05,10.07,-0.14,0.08,-0.02
-0.98,-2.03,10.08,-0.12,0.06,-0.01
-0.97,-2.02,9.97,-0.12,0.06,-0.01
-0.94,-2.0,10.02,-0.13,0.08,-0.01
-0.97,-1.99,10.07,-0.13,0.08,-0.02
-1.01,-1.99,10.04,-0.14,0.08,-0.02
-1.01,-2.02,9.99,-0.13,0.07,-0.01
-0.99,-2.06,9.98,-0.13,0.07,-0.01
-1.0,-2.1,10.04,-0.14,0.08,-0.02
-0.98,-2.04,9.97,-0.13,0.06,-0.01
-1.0,-2.04,9.98,-0.1,0.05,-0.01
-1.0,-2.07,10.06,-0.12,0.06,-0.02
-1.02,-2.04,10.03,-0.11,0.06,-0.01
-1.03,-2.07,10.07,-0.11,0.06,-0.01
-1.0,-2.09,10.02,-0.1,0.05,-0.01
-1.0,-2.08,10.04,-0.11,0.05,-0.01
-1.01,-2.03,9.98,-0.08,0.04,-0.01
-1.0,-2.03,10.0,-0.08,0.04,-0.01
-0.97,-2.03,9.99,-0.08,0.04,-0.01
-0.95,-2.05,10.03,-0.09,0.04,-0.01
-0.97,-2.03,10.02,-0.09,0.04,-0.01
-1.0,-2.04,10.03,-0.09,0.05,-0.01
-0.96,-2.03,10.05,-0.08,0.04,-0.01
-0.98,-1.99,10.03,-0.08,0.04,-0.01
-0.98,-2.0,10.04,-0.08,0.04,-0.01
-0.95,-2.0,10.04,-0.07,0.04,-0.01
