ax,ay,az,gx,gy,gz
0.01,-1.33,10.21,-0.11,0.06,-0.02
0.02,-1.33,10.25,-0.1,0.05,-0.02
0.04,-1.36,10.24,-0.1,0.05,-0.01
0.02,-1.38,10.25,-0.1,0.05,-0.01
0.04,-1.4,10.24,-0.1,0.05,-0.01
0.02,-1.38,10.25,-0.11,0.06,-0.01
0.02,-1.38,10.25,-0.11,0.05,-0.01
0.03,-1.37,10.28,-0.11,0.05,-0.01
0.02,-1.37,10.26,-0.11,0.05,-0.02
0.01,-1.36,10.23,-0.11,0.05,-0.01
0.03,-1.34,10.26,-0.11,0.05,-0.01
0.04,-1.36,10.21,-0.09,0.05,-0.01
0.04,-1.35,10.25,-0.12,0.06,-0.02
0.06,-1.39,10.31,-0.14,0.07,-0.02
0.08,-1.35,10.14,-0.04,0.04,-0.01
0.0,-1.36,10.42,-0.13,0.06,-0.02
0.04,-1.37,10.3,-0.13,0.08,-0.01
0.03,-1.28,10.05,-0.06,0.07,0.0
0.01,-1.36,10.24,-0.12,0.08,-0.01
0.0,-1.42,10.38,-0.15,0.07,-0.02
0.0,-1.39,10.24,-0.12,0.06,-0.01
0.0,-1.33,10.17,-0.12,0.07,-0.01
0.04,-1.33,10.24,-0.13,0.08,-0.01
0.06,-1.36,10.29,-0.12,0.07,-0.01
-0.01,-1.38,10.28,-0.11,0.06,-0.02
0.01,-1.36,10.27,-0.11,0.06,-0.01
0.03,-1.36,10.19,-0.12,0.06,-0.01
0.0,-1.42,10.27,-0.12,0.08,-0.01
0.0,-1.4,10.28,-0.12,0.05,-0.01
0.03,-1.36,10.11,-0.06,0.04,-0.01
0.02,-1.42,10.29,-0.12,0.05,-0.02
0.02,-1.43,10.26,-0.1,0.05,-0.01
-0.02,-1.37,10.24,-0.1,0.05,-0.01
-0.03,-1.37,10.21,-0.1,0.06,-0.01
0.04,-1.35,10.25,-0.11,0.06,-0.01
0.05,-1.37,10.22,-0.1,0.06,-0.01
0.0,-1.34,10.21,-0.1,0.06,-0.02
0.01,-1.35,10.24,-0.1,0.05,-0.01
0.06,-1.37,10.25,-0.1,0.04,-0.01
0.03,-1.4,10.25,-0.09,0.05,-0.01
0.03,-1.39,10.25,-0.1,0.05,-0.01
0.03,-1.37,10.26,-0.11,0.05,-0.01
0.02,-1.36,10.24,-0.11,0.05,-0.01
0.01,-1.37,10.28,-0.11,0.05,-0.02
0.02,-1.35,10.26,-0.11,0.05,-0.02
0.04,-1.37,10.23,-0.1,0.05,-0.01
0.03,-1.34,10.2,-0.09,0.05,-0.01
0.01,-1.38,10.28,-0.13,0.06,-0.02
0.06,-1.38,10.27,-0.12,0.06,-0.01
0.07,-1.33,10.0,0.01,0.03,0.0
0.0,-1.4,10.41,-0.16,0.07,-0.02
0.07,-1.37,10.34,-0.14,0.08,-0.02
0.02,-1.32,10.04,-0.06,0.07,0.0
0.01,-1.39,10.33,-0.15,0.08,-0.02
0.0,-1.42,10.33,-0.14,0.06,-0.01
0.03,-1.39,10.21,-0.11,0.06,-0.01
0.01,-1.36,10.18,-0.12,0.07,-0.01
0.05,-1.37,10.28,-0.14,0.08,-0.01
0.04,-1.37,10.3,-0.12,0.07,-0.01
-0.01,-1.37,10.26,-0.12,0.07,-0.01
0.03,-1.37,10.22,-0.12,0.07,-0.01
0.03,-1.4,10.24,-0.13,0.07,-0.01
-0.01,-1.46,10.39,-0.16,0.08,-0.02
0.02,-1.41,10.15,-0.08,0.04,0.0
0.01,-1.38,10.14,-0.08,0.05,-0.01
