ax,ay,az,gx,gy,gz
0.29,-0.56,10.21,-0.13,0.09,-0.01
0.32,-0.58,10.4,-0.17,0.07,-0.01
0.29,-0.65,10.5,-0.18,0.07,-0.02
0.27,-0.65,10.28,-0.15,0.07,-0.01
0.3,-0.57,10.26,-0.16,0.09,-0.01
0.29,-0.58,10.29,-0.21,0.1,-0.02
0.29,-0.66,10.34,-0.22,0.1,-0.02
0.27,-0.68,10.38,-0.2,0.1,-0.02
0.27,-0.71,10.34,-0.19,0.09,-0.01
0.28,-0.73,10.29,-0.19,0.09,-0.01
0.23,-0.77,10.44,-0.23,0.11,-0.02
0.23,-0.78,10.28,-0.2,0.09,-0.01
0.24,-0.78,10.17,-0.16,0.08,-0.01
0.22,-0.8,10.39,-0.2,0.08,-0.02
0.19,-0.86,10.34,-0.18,0.09,-0.02
0.19,-0.86,10.36,-0.19,0.09,-0.02
0.2,-0.86,10.3,-0.18,0.08,-0.02
0.19,-0.9,10.34,-0.21,0.08,-0.02
0.19,-0.91,10.26,-0.17,0.09,-0.01
0.19,-0.94,10.28,-0.17,0.08,-0.02
0.18,-0.97,10.34,-0.16,0.07,-0.02
0.2,-0.98,10.29,-0.16,0.07,-0.02
0.16,-1.0,10.31,-0.17,0.08,-0.01
0.15,-0.99,10.28,-0.17,0.08,-0.01
0.17,-1.01,10.31,-0.18,0.08,-0.01
0.15,-1.02,10.29,-0.18,0.08,-0.02
0.14,-1.04,10.3,-0.18,0.08,-0.02
0.13,-1.07,10.28,-0.18,0.08,-0.02
0.13,-1.08,10.27,-0.17,0.08,-0.02
0.14,-1.08,10.26,-0.17,0.08,-0.02
0.11,-1.12,10.34,-0.2,0.08,-0.02
0.16,-1.13,10.27,-0.17,0.08,-0.01
0.11,-1.1,10.06,-0.03,0.06,-0.01
0.09,-1.13,10.39,-0.19,0.09,-0.02
0.11,-1.14,10.3,-0.16,0.09,-0.01
0.09,-1.13,10.12,-0.11,0.08,-0.01
0.11,-1.21,10.44,-0.17,0.07,-0.02
0.08,-1.23,10.34,-0.16,0.07,-0.02
0.05,-1.18,10.25,-0.16,0.09,-0.02
0.08,-1.16,10.2,-0.18,0.1,-0.02
0.1,-1.19,10.29,-0.2,0.1,-0.02
0.09,-1.23,10.35,-0.19,0.1,-0.01
0.04,-1.24,10.28,-0.17,0.09,-0.01
0.03,-1.28,10.25,-0.17,0.09,-0.01
0.01,-1.32,10.23,-0.18,0.09,-0.01
0.0,-1.36,10.41,-0.22,0.09,-0.02
0.01,-1.32,10.13,-0.12,0.07,-0.01
0.0,-1.31,10.22,-0.15,0.07,-0.01
0.02,-1.34,10.3,-0.15,0.08,-0.02
0.0,-1.36,10.27,-0.14,0.08,-0.01
-0.02,-1.35,10.28,-0.14,0.08,-0.01
-0.01,-1.35,10.26,-0.14,0.07,-0.01
0.02,-1.37,10.26,-0.14,0.07,-0.01
0.02,-1.37,10.18,-0.12,0.07,-0.01
-0.04,-1.37,10.25,-0.12,0.06,-0.02
0.0,-1.38,10.27,-0.12,0.06,-0.01
-0.03,-1.4,10.27,-0.11,0.06,-0.01
0.0,-1.39,10.25,-0.1,0.06,-0.01
-0.02,-1.38,10.24,-0.1,0.05,-0.01
-0.03,-1.38,10.24,-0.1,0.05,-0.01
-0.01,-1.37,10.26,-0.09,0.05,-0.01
-0.01,-1.36,10.27,-0.09,0.05,-0.01
-0.02,-1.37,10.27,-0.08,0.04,-0.01
-0.01,-1.37,10.26,-0.07,0.03,-0.01
-0.02,-1.35,10.28,-0.06,0.03,-0.01
0.02,-1.32,10.21,-0.03,0.03,-0.01
0.03,-1.32,10.26,-0.06,0.03,-0.01
0.02,-1.31,10.32,-0.07,0.04,-0.01
0.01,-1.28,10.12,0.04,0.02,0.0
0.01,-1.24,10.4,-0.07,0.02,-0.01
0.06,-1.24,10.33,-0.07,0.05,-0.01
0.03,-1.19,10.05,0.02,0.04,0.0
0.06,-1.24,10.36,-0.04,0.03,-0.01
0.04,-1.23,10.39,-0.04,0.02,-0.01
0.04,-1.2,10.28,-0.02,0.02,-0.01
0.06,-1.11,10.22,-0.03,0.04,-0.01
0.11,-1.09,10.27,-0.05,0.04,-0.01
0.09,-1.11,10.34,-0.03,0.03,-0.01
0.07,-1.08,10.31,-0.02,0.03,-0.01
0.08,-1.05,10.28,-0.02,0.03,-0.01
0.11,-1.08,10.24,-0.03,0.03,-0.01
0.11,-1.08,10.34,-0.06,0.05,-0.01
0.09,-1.02,10.25,-0.04,0.03,0.0
0.12,-0.97,10.18,-0.02,0.03,-0.01
0.11,-1.01,10.37,-0.06,0.03,-0.01
0.12,-1.0,10.31,-0.02,0.04,-0.01
0.11,-0.94,10.35,-0.02,0.04,-0.01
0.14,-0.91,10.29,-0.02,0.03,-0.01
0.16,-0.89,10.33,-0.04,0.03,-0.01
0.18,-0.89,10.27,-0.02,0.03,-0.01
0.17,-0.87,10.3,-0.03,0.03,-0.01
0.2,-0.86,10.31,-0.02,0.02,-0.01
0.18,-0.84,10.29,-0.02,0.02,-0.01
0.21,-0.8,10.31,-0.03,0.02,-0.01
0.23,-0.79,10.36,-0.04,0.03,0.0
0.22,-0.77,10.32,-0.05,0.03,-0.01
0.21,-0.75,10.3,-0.05,0.03,-0.01
0.21,-0.75,10.32,-0.05,0.03,-0.01
0.24,-0.73,10.32,-0.05,0.03,-0.01
0.27,-0.72,10.31,-0.05,0.03,-0.02
0.24,-0.7,10.3,-0.06,0.03,-0.01
0.25,-0.68,10.38,-0.09,0.03,-0.01
0.3,-0.69,10.32,-0.07,0.03,-0.01
0.28,-0.61,10.07,0.08,0.02,0.0
0.27,-0.64,10.33,-0.1,0.06,-0.01
0.28,-0.65,10.38,-0.1,0.06,-0.01
0.25,-0.6,10.22,-0.05,0.05,-0.01
0.27,-0.67,10.52,-0.11,0.04,-0.02
0.25,-0.65,10.37,-0.07,0.04,-0.01
0.28,-0.61,10.28,-0.06,0.05,-0.01
0.31,-0.56,10.3,-0.1,0.06,-0.01
0.34,-0.56,10.34,-0.12,0.06,-0.01
0.3,-0.57,10.37,-0.1,0.06,-0.01
0.3,-0.58,10.33,-0.1,0.06,-0.01
0.3,-0.59,10.28,-0.12,0.06,-0.01
0.28,-0.63,10.31,-0.15,0.07,-0.01
0.27,-0.65,10.39,-0.2,0.09,-0.01
0.31,-0.6,10.18,-0.14,0.06,-0.01
0.25,-0.64,10.33,-0.19,0.08,-0.02
0.26,-0.68,10.41,-0.19,0.08,-0.02
0.26,-0.7,10.36,-0.19,0.09,-0.02
0.24,-0.69,10.31,-0.18,0.09,-0.02
0.26,-0.7,10.35,-0.2,0.08,-0.02
0.26,-0.74,10.3,-0.19,0.09,-0.02
0.26,-0.75,10.29,-0.18,0.09,-0.02
0.23,-0.78,10.3,-0.18,0.08,-0.02
0.24,-0.81,10.32,-0.17,0.07,-0.02
0.22,-0.83,10.34,-0.17,0.08,-0.02
0.21,-0.84,10.32,-0.18,0.08,-0.01
0.22,-0.84,10.3,-0.18,0.08,-0.01
0.2,-0.86,10.33,-0.2,0.08,-0.02
0.19,-0.89,10.35,-0.2,0.08,-0.02
0.18,-0.9,10.3,-0.19,0.08,-0.02
0.2,-0.94,10.29,-0.17,0.08,-0.02
0.18,-0.93,10.3,-0.18,0.09,-0.02
0.18,-0.98,10.4,-0.23,0.09,-0.02
0.19,-1.01,10.3,-0.19,0.08,-0.02
0.16,-0.97,10.15,-0.07,0.07,-0.01
0.15,-1.04,10.4,-0.21,0.1,-0.02
0.15,-1.0,10.24,-0.16,0.1,-0.01
0.12,-1.03,10.15,-0.14,0.09,-0.01
0.16,-1.12,10.44,-0.2,0.08,-0.02
0.12,-1.12,10.31,-0.18,0.08,-0.02
0.09,-1.08,10.23,-0.18,0.1,-0.02
0.13,-1.09,10.22,-0.21,0.11,-0.02
0.13,-1.13,10.31,-0.22,0.1,-0.02
0.09,-1.16,10.33,-0.19,0.1,-0.01
0.07,-1.17,10.3,-0.17,0.1,-0.01
0.07,-1.21,10.24,-0.17,0.09,-0.01
0.09,-1.24,10.22,-0.19,0.1,-0.01
0.04,-1.27,10.42,-0.24,0.09,-0.02
0.04,-1.24,10.12,-0.13,0.07,-0.01
0.04,-1.25,10.27,-0.17,0.08,-0.02
0.04,-1.3,10.29,-0.16,0.08,-0.02
0.01,-1.32,10.29,-0.15,0.09,-0.02
0.01,-1.29,10.25,-0.15,0.08,-0.01
0.01,-1.33,10.28,-0.17,0.08,-0.01
0.03,-1.34,10.24,-0.16,0.08,-0.01
0.03,-1.33,10.23,-0.14,0.08,-0.01
0.01,-1.35,10.22,-0.15,0.07,-0.02
0.0,-1.36,10.26,-0.15,0.07,-0.02
0.0,-1.37,10.26,-0.14,0.07,-0.01
0.01,-1.37,10.24,-0.14,0.07,-0.01
-0.01,-1.38,10.23,-0.15,0.07,-0.01
-0.01,-1.36,10.24,-0.15,0.07,-0.01
0.0,-1.4,10.23,-0.14,0.07,-0.02
0.0,-1.42,10.22,-0.14,0.07,-0.02
-0.01,-1.43,10.24,-0.14,0.07,-0.02
-0.02,-1.44,10.22,-0.14,0.07,-0.02
0.0,-1.42,10.22,-0.14,0.07,-0.02
-0.03,-1.43,10.23,-0.12,0.07,-0.01
-0.02,-1.43,10.19,-0.13,0.06,-0.01
-0.02,-1.47,10.33,-0.16,0.07,-0.02
-0.01,-1.47,10.21,-0.09,0.06,-0.01
-0.06,-1.43,10.26,-0.08,0.05,-0.01
-0.05,-1.48,10.31,-0.14,0.08,-0.01
-0.04,-1.39,10.05,-0.05,0.07,0.0
-0.06,-1.44,10.21,-0.05,0.05,-0.01
-0.03,-1.49,10.36,-0.1,0.04,-0.01
-0.05,-1.47,10.24,-0.1,0.05,-0.02
-0.05,-1.42,10.21,-0.1,0.06,-0.02
0.0,-1.39,10.21,-0.1,0.06,-0.01
0.0,-1.41,10.29,-0.08,0.05,-0.01
-0.03,-1.41,10.27,-0.07,0.04,-0.01
-0.05,-1.37,10.27,-0.06,0.04,-0.01
0.0,-1.41,10.23,-0.06,0.04,-0.01
-0.02,-1.4,10.23,-0.06,0.05,-0.01
-0.02,-1.39,10.37,-0.09,0.03,-0.01
0.0,-1.32,10.11,-0.01,0.02,0.0
0.0,-1.34,10.31,-0.06,0.03,-0.01
0.0,-1.34,10.32,-0.04,0.03,-0.01
-0.02,-1.32,10.31,-0.03,0.04,-0.01
-0.01,-1.26,10.28,-0.03,0.04,0.0
0.01,-1.25,10.3,-0.03,0.03,-0.01
0.04,-1.24,10.24,-0.03,0.03,-0.01
0.06,-1.2,10.24,-0.02,0.03,-0.01
0.04,-1.21,10.27,-0.01,0.02,-0.01
0.05,-1.19,10.28,-0.01,0.02,-0.01
0.07,-1.17,10.26,-0.02,0.02,-0.01
0.06,-1.14,10.27,-0.03,0.02,0.0
