ax,ay,az,gx,gy,gz
0.11,-1.09,10.27,-0.15,0.07,-0.02
0.11,-1.07,10.28,-0.16,0.08,-0.01
0.1,-1.07,10.3,-0.17,0.08,-0.01
0.07,-1.07,10.29,-0.17,0.08,-0.02
0.07,-1.11,10.3,-0.17,0.08,-0.02
0.07,-1.13,10.29,-0.17,0.08,-0.02
0.1,-1.12,10.26,-0.16,0.09,-0.02
0.08,-1.15,10.35,-0.2,0.1,-0.03
0.07,-1.18,10.33,-0.19,0.09,-0.02
0.08,-1.14,10.05,-0.04,0.05,-0.01
0.04,-1.2,10.37,-0.19,0.1,-0.03
0.05,-1.16,10.39,-0.18,0.1,-0.02
0.03,-1.18,10.07,-0.11,0.09,-0.01
0.05,-1.24,10.35,-0.18,0.08,-0.02
0.01,-1.3,10.36,-0.16,0.07,-0.02
0.0,-1.26,10.23,-0.14,0.08,-0.02
0.02,-1.24,10.17,-0.17,0.1,-0.02
0.03,-1.24,10.26,-0.19,0.11,-0.02
0.02,-1.26,10.31,-0.17,0.1,-0.01
-0.01,-1.27,10.3,-0.16,0.09,-0.02
-0.03,-1.31,10.25,-0.16,0.09,-0.02
-0.01,-1.36,10.24,-0.18,0.1,-0.01
-0.03,-1.41,10.41,-0.22,0.1,-0.02
-0.04,-1.37,10.16,-0.13,0.07,-0.01
-0.05,-1.36,10.19,-0.14,0.08,-0.01
-0.07,-1.38,10.28,-0.15,0.08,-0.02
-0.08,-1.41,10.27,-0.13,0.08,-0.02
-0.1,-1.4,10.23,-0.13,0.07,-0.02
-0.09,-1.36,10.25,-0.14,0.07,-0.01
-0.04,-1.41,10.24,-0.14,0.07,-0.01
-0.06,-1.43,10.18,-0.13,0.07,-0.02
-0.09,-1.41,10.24,-0.13,0.07,-0.02
-0.06,-1.43,10.27,-0.13,0.06,-0.02
-0.06,-1.45,10.22,-0.13,0.06,-0.01
-0.08,-1.43,10.21,-0.13,0.07,-0.01
-0.09,-1.45,10.23,-0.13,0.07,-0.01
-0.11,-1.45,10.26,-0.13,0.07,-0.01
-0.1,-1.47,10.21,-0.13,0.07,-0.02
-0.1,-1.46,10.21,-0.13,0.06,-0.02
-0.11,-1.47,10.25,-0.13,0.06,-0.02
-0.1,-1.46,10.22,-0.11,0.06,-0.01
-0.07,-1.47,10.19,-0.11,0.06,-0.01
-0.09,-1.49,10.29,-0.15,0.07,-0.02
-0.08,-1.47,10.22,-0.1,0.05,-0.01
-0.1,-1.45,10.17,-0.06,0.04,-0.01
-0.12,-1.49,10.27,-0.12,0.08,-0.01
-0.09,-1.45,10.17,-0.08,0.07,-0.01
-0.09,-1.47,10.11,-0.07,0.06,0.0
-0.09,-1.51,10.35,-0.11,0.06,-0.02
-0.1,-1.49,10.27,-0.09,0.04,-0.01
-0.11,-1.45,10.17,-0.09,0.05,-0.01
-0.09,-1.45,10.21,-0.12,0.07,-0.01
-0.06,-1.45,10.27,-0.1,0.06,-0.01
-0.09,-1.41,10.27,-0.08,0.05,-0.01
-0.11,-1.43,10.24,-0.09,0.05,-0.01
-0.09,-1.46,10.23,-0.09,0.06,-0.01
-0.07,-1.47,10.21,-0.09,0.06,-0.01
-0.11,-1.48,10.38,-0.13,0.05,-0.01
-0.08,-1.4,10.1,-0.03,0.02,0.0
-0.07,-1.41,10.3,-0.09,0.05,-0.01
-0.1,-1.42,10.29,-0.06,0.03,-0.01
-0.1,-1.38,10.28,-0.04,0.03,-0.01
-0.09,-1.37,10.24,-0.05,0.03,-0.01
-0.06,-1.36,10.26,-0.06,0.03,0.0
-0.01,-1.36,10.26,-0.04,0.03,0.0
-0.02,-1.33,10.24,-0.04,0.03,-0.01
-0.03,-1.32,10.22,-0.04,0.03,-0.01
-0.02,-1.3,10.22,-0.04,0.02,-0.01
