ax,ay,az,gx,gy,gz
-0.93,-1.69,10.1,-0.1,0.05,-0.02
-0.93,-1.67,10.11,-0.11,0.05,-0.02
-0.97,-1.68,10.07,-0.11,0.05,-0.01
-0.96,-1.64,10.09,-0.1,0.05,-0.01
-0.95,-1.66,10.1,-0.11,0.05,-0.01
-0.95,-1.66,10.15,-0.14,0.07,-0.02
-0.92,-1.61,10.04,-0.09,0.04,-0.01
-0.91,-1.67,10.09,-0.1,0.05,-0.01
-0.93,-1.67,10.13,-0.15,0.09,-0.02
-0.98,-1.59,10.0,-0.11,0.07,0.0
-0.95,-1.69,10.09,-0.12,0.06,-0.01
-0.97,-1.74,10.16,-0.16,0.08,-0.02
-1.01,-1.7,10.09,-0.14,0.07,-0.01
-0.97,-1.69,10.06,-0.13,0.07,-0.01
-0.91,-1.71,10.03,-0.15,0.08,-0.01
-0.95,-1.69,10.08,-0.16,0.09,-0.02
-0.99,-1.69,10.12,-0.17,0.09,-0.02
-0.97,-1.73,10.11,-0.16,0.08,-0.01
-0.98,-1.79,10.01,-0.16,0.07,-0.01
-0.98,-1.82,10.17,-0.19,0.1,-0.02
-0.99,-1.74,10.07,-0.16,0.07,-0.02
-0.98,-1.77,9.99,-0.11,0.06,-0.01
-1.01,-1.81,10.13,-0.16,0.08,-0.02
-1.03,-1.8,10.08,-0.15,0.09,-0.02
-1.08,-1.85,10.07,-0.14,0.07,-0.02
-1.02,-1.85,10.04,-0.14,0.06,-0.02
-1.02,-1.88,10.06,-0.14,0.07,-0.01
-1.03,-1.81,10.02,-0.13,0.07,-0.01
-1.02,-1.84,10.04,-0.13,0.06,-0.01
-1.01,-1.83,10.06,-0.13,0.06,-0.02
-1.01,-1.85,10.06,-0.14,0.07,-0.02
-1.02,-1.88,10.07,-0.14,0.07,-0.02
-1.06,-1.91,10.04,-0.14,0.07,-0.02
-1.03,-1.92,10.03,-0.13,0.06,-0.01
-1.02,-1.9,10.04,-0.13,0.07,-0.02
-1.05,-1.9,10.09,-0.16,0.09,-0.02
-1.03,-1.88,9.96,-0.09,0.06,-0.01
-1.07,-1.97,10.1,-0.14,0.07,-0.02
-1.06,-1.89,10.11,-0.16,0.09,-0.02
-1.07,-1.85,9.93,-0.08,0.06,0.0
-1.07,-1.99,10.01,-0.11,0.07,0.0
-1.09,-1.98,10.08,-0.16,0.09,-0.02
-1.1,-1.93,10.08,-0.14,0.07,-0.02
-1.06,-1.92,10.0,-0.13,0.07,-0.01
-1.03,-1.93,9.99,-0.14,0.08,-0.01
-1.07,-1.94,10.05,-0.15,0.09,-0.02
-1.11,-1.93,10.05,-0.14,0.08,-0.02
-1.12,-1.95,10.02,-0.13,0.07,-0.01
-1.08,-2.01,10.0,-0.14,0.07,-0.01
-1.08,-2.03,10.07,-0.15,0.09,-0.02
-1.09,-1.99,9.96,-0.12,0.06,-0.01
-1.1,-2.02,9.96,-0.11,0.06,-0.01
-1.1,-2.02,10.04,-0.13,0.08,-0.02
-1.13,-1.99,10.06,-0.12,0.07,-0.02
-1.14,-2.03,10.07,-0.12,0.07,-0.02
-1.11,-2.03,10.0,-0.12,0.06,-0.01
-1.09,-2.04,10.02,-0.13,0.06,-0.01
-1.11,-1.98,9.96,-0.1,0.06,-0.01
-1.12,-2.0,10.0,-0.11,0.05,-0.01
-1.1,-2.03,9.99,-0.11,0.06,-0.01
-1.1,-2.01,9.99,-0.12,0.06,-0.01
-1.13,-2.02,10.03,-0.12,0.06,-0.02
-1.12,-2.03,10.02,-0.12,0.06,-0.01
-1.12,-2.04,10.0,-0.12,0.06,-0.01
-1.12,-2.01,10.0,-0.1,0.05,-0.01
-1.1,-2.03,9.98,-0.1,0.06,-0.01
-1.14,-2.04,10.06,-0.14,0.08,-0.02
-1.12,-2.02,9.99,-0.11,0.06,-0.02
-1.07,-2.01,9.96,-0.07,0.04,-0.01
-1.11,-2.07,10.04,-0.13,0.08,-0.02
-1.15,-1.99,9.98,-0.09,0.06,0.0
-1.1,-2.01,9.94,-0.06,0.04,0.01
-1.13,-2.06,10.05,-0.12,0.07,-0.01
-1.15,-2.02,10.03,-0.12,0.06,-0.01
-1.12,-2.01,10.05,-0.1,0.05,-0.01
-1.07,-2.03,9.98,-0.11,0.06,0.0
-1.09,-2.01,10.0,-0.11,0.06,-0.01
-1.15,-2.0,10.05,-0.11,0.07,-0.01
-1.13,-2.01,10.06,-0.1,0.06,-0.01
-1.11,-2.04,10.0,-0.09,0.05,-0.01
-1.13,-2.07,9.98,-0.09,0.06,-0.01
-1.12,-2.02,10.05,-0.11,0.05,-0.02
-1.1,-1.98,9.93,-0.06,0.03,-0.01
-1.11,-2.02,10.05,-0.09,0.06,-0.01
-1.13,-2.0,10.05,-0.08,0.05,-0.01
-1.14,-1.99,10.07,-0.08,0.05,-0.01
-1.13,-1.99,10.03,-0.07,0.04,-0.01
-1.09,-2.01,10.02,-0.08,0.04,-0.01
-1.09,-1.93,9.96,-0.06,0.04,-0.01
-1.07,-1.92,10.0,-0.06,0.04,-0.01
-1.06,-1.94,10.03,-0.07,0.03,-0.01
-1.07,-1.95,10.02,-0.07,0.04,-0.01
-1.06,-1.94,10.04,-0.07,0.04,-0.01
-1.07,-1.91,10.05,-0.07,0.04,-0.01
-1.08,-1.92,10.05,-0.07,0.04,-0.01
-1.06,-1.92,10.04,-0.06,0.03,-0.01
-1.04,-1.88,10.02,-0.05,0.03,-0.01
-1.09,-1.87,10.03,-0.06,0.04,-0.01
-1.04,-1.87,10.11,-0.09,0.05,-0.02
-1.04,-1.81,10.04,-0.05,0.03,-0.01
-1.01,-1.84,10.01,-0.02,0.01,0.0
-1.04,-1.84,10.07,-0.08,0.06,-0.01
-1.04,-1.74,10.02,-0.05,0.04,0.0
-1.02,-1.81,10.02,-0.04,0.03,0.0
-1.03,-1.86,10.17,-0.1,0.05,-0.02
