ax,ay,az,gx,gy,gz
0.1,-1.03,10.28,-0.18,0.09,-0.02
0.09,-1.05,10.28,-0.18,0.09,-0.02
0.1,-1.06,10.3,-0.16,0.07,-0.02
0.08,-1.1,10.3,-0.14,0.07,-0.02
0.09,-1.08,10.3,-0.14,0.08,-0.01
0.07,-1.1,10.26,-0.16,0.08,-0.01
0.05,-1.1,10.3,-0.17,0.08,-0.02
0.05,-1.14,10.3,-0.16,0.07,-0.02
0.07,-1.14,10.29,-0.16,0.07,-0.02
0.06,-1.17,10.25,-0.14,0.07,-0.02
0.03,-1.17,10.24,-0.16,0.08,-0.02
0.04,-1.21,10.4,-0.19,0.09,-0.02
0.05,-1.19,10.25,-0.12,0.05,-0.01
0.05,-1.16,10.24,-0.1,0.06,-0.01
0.06,-1.2,10.3,-0.17,0.1,-0.02
0.01,-1.17,10.13,-0.12,0.09,-0.01
0.0,-1.24,10.19,-0.15,0.09,-0.01
0.01,-1.29,10.42,-0.19,0.08,-0.02
0.0,-1.27,10.31,-0.14,0.07,-0.02
-0.02,-1.24,10.19,-0.15,0.09,-0.02
0.01,-1.24,10.22,-0.19,0.11,-0.02
0.01,-1.27,10.31,-0.19,0.11,-0.02
-0.01,-1.26,10.3,-0.16,0.09,-0.02
-0.04,-1.29,10.26,-0.14,0.09,-0.02
-0.02,-1.33,10.25,-0.15,0.09,-0.02
-0.04,-1.37,10.2,-0.15,0.1,-0.01
-0.06,-1.4,10.34,-0.19,0.08,-0.02
-0.06,-1.35,10.09,-0.1,0.06,-0.01
-0.06,-1.36,10.28,-0.17,0.08,-0.02
-0.07,-1.39,10.33,-0.14,0.08,-0.02
-0.08,-1.4,10.29,-0.13,0.08,-0.01
-0.09,-1.39,10.24,-0.13,0.07,-0.01
-0.06,-1.4,10.25,-0.15,0.07,-0.01
-0.07,-1.4,10.18,-0.13,0.07,-0.01
-0.07,-1.37,10.19,-0.12,0.07,-0.01
-0.08,-1.41,10.24,-0.13,0.07,-0.02
-0.08,-1.44,10.24,-0.13,0.06,-0.01
-0.09,-1.44,10.23,-0.12,0.06,-0.01
-0.08,-1.45,10.21,-0.13,0.07,-0.01
-0.09,-1.44,10.22,-0.14,0.07,-0.01
-0.1,-1.46,10.21,-0.13,0.07,-0.01
-0.12,-1.46,10.23,-0.13,0.07,-0.02
-0.11,-1.47,10.23,-0.13,0.06,-0.02
-0.09,-1.45,10.22,-0.12,0.06,-0.02
-0.11,-1.46,10.22,-0.11,0.06,-0.01
-0.11,-1.46,10.22,-0.12,0.06,-0.01
-0.1,-1.48,10.3,-0.14,0.07,-0.02
-0.1,-1.43,10.12,-0.05,0.04,-0.01
-0.14,-1.48,10.38,-0.13,0.05,-0.02
-0.08,-1.47,10.34,-0.12,0.07,-0.01
-0.11,-1.4,10.07,-0.03,0.05,0.0
-0.09,-1.45,10.22,-0.07,0.05,-0.01
-0.11,-1.49,10.37,-0.1,0.05,-0.01
-0.13,-1.46,10.25,-0.07,0.04,-0.01
-0.09,-1.42,10.15,-0.08,0.05,-0.01
-0.06,-1.4,10.26,-0.1,0.06,-0.01
-0.07,-1.39,10.31,-0.07,0.05,0.0
-0.11,-1.38,10.27,-0.06,0.04,0.0
-0.1,-1.36,10.26,-0.07,0.04,-0.01
-0.07,-1.38,10.24,-0.08,0.05,0.0
-0.08,-1.41,10.22,-0.07,0.05,-0.01
-0.09,-1.4,10.26,-0.06,0.03,0.0
-0.06,-1.32,10.16,-0.03,0.02,0.0
-0.04,-1.36,10.31,-0.07,0.04,-0.01
-0.07,-1.35,10.3,-0.05,0.03,-0.01
-0.08,-1.31,10.3,-0.04,0.03,0.0
-0.05,-1.29,10.22,-0.03,0.02,0.0
-0.02,-1.28,10.29,-0.05,0.02,0.0
-0.01,-1.25,10.22,-0.03,0.02,0.0
0.0,-1.25,10.23,-0.04,0.02,-0.01
0.01,-1.21,10.27,-0.03,0.01,-0.01
0.01,-1.24,10.27,-0.03,0.01,0.0
0.03,-1.21,10.26,-0.03,0.02,0.0
0.01,-1.16,10.27,-0.04,0.02,0.0
0.04,-1.14,10.3,-0.05,0.02,-0.01
0.04,-1.14,10.28,-0.05,0.02,-0.01
0.03,-1.14,10.27,-0.04,0.02,-0.01
0.04,-1.1,10.3,-0.04,0.02,-0.01
0.07,-1.09,10.26,-0.03,0.01,-0.01
0.06,-1.09,10.25,-0.04,0.02,-0.01
0.06,-1.08,10.38,-0.09,0.04,-0.01
0.1,-1.06,10.29,-0.05,0.01,-0.01
0.13,-0.95,10.12,0.08,0.0,0.0
0.12,-1.01,10.32,-0.06,0.06,-0.01
